,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,total_bill,tip,sex,smoker,day,time,size
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,16.99,1.01,Female,No,Sun,Dinner,2.0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,10.34,1.66,Male,No,Sun,Dinner,3.0
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,21.01,3.5,Male,No,Sun,Dinner,3.0
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,23.68,3.31,Male,No,Sun,Dinner,2.0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,24.59,3.61,Female,No,Sun,Dinner,4.0
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,25.29,4.71,Male,No,Sun,Dinner,4.0
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,8.77,2.0,Male,No,Sun,Dinner,2.0
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,26.88,3.12,Male,No,Sun,Dinner,4.0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,15.04,1.96,Male,No,Sun,Dinner,2.0
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,14.78,3.23,Male,No,Sun,Dinner,2.0
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,10.27,1.71,Male,No,Sun,Dinner,2.0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,35.26,5.0,Female,No,Sun,Dinner,4.0
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,15.42,1.57,Male,No,Sun,Dinner,2.0
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,18.43,3.0,Male,No,Sun,Dinner,4.0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,14.83,3.02,Female,No,Sun,Dinner,2.0
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,21.58,3.92,Male,No,Sun,Dinner,2.0
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,10.33,1.67,Female,No,Sun,Dinner,3.0
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True,16.29,3.71,Male,No,Sun,Dinner,3.0
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,16.97,3.5,Female,No,Sun,Dinner,3.0
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,20.65,3.35,Male,No,Sat,Dinner,3.0
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,17.92,4.08,Male,No,Sat,Dinner,2.0
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,20.29,2.75,Female,No,Sat,Dinner,2.0
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,15.77,2.23,Female,No,Sat,Dinner,2.0
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,39.42,7.58,Male,No,Sat,Dinner,4.0
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,19.82,3.18,Male,No,Sat,Dinner,2.0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,17.81,2.34,Male,No,Sat,Dinner,4.0
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,13.37,2.0,Male,No,Sat,Dinner,2.0
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,12.69,2.0,Male,No,Sat,Dinner,2.0
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,21.7,4.3,Male,No,Sat,Dinner,2.0
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,19.65,3.0,Female,No,Sat,Dinner,2.0
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,9.55,1.45,Male,No,Sat,Dinner,2.0
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,18.35,2.5,Male,No,Sat,Dinner,4.0
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,15.06,3.0,Female,No,Sat,Dinner,2.0
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,20.69,2.45,Female,No,Sat,Dinner,4.0
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,17.78,3.27,Male,No,Sat,Dinner,2.0
